,ESP_heatwaves,ESP_inflation_consumer_price,MAR_heatwaves,MAR_inflation_consumer_price,DZA_heatwaves,DZA_inflation_consumer_price,ISR_heatwaves,ISR_inflation_consumer_price,PRT_heatwaves,PRT_inflation_consumer_price,TUN_heatwaves,TUN_inflation_consumer_price,CYP_heatwaves,CYP_inflation_consumer_price,GRC_heatwaves,GRC_inflation_consumer_price,ITA_heatwaves,ITA_inflation_consumer_price,MLT_heatwaves,MLT_inflation_consumer_price,TUR_heatwaves,TUR_inflation_consumer_price,FRA_heatwaves,FRA_inflation_consumer_price,BGR_heatwaves,BGR_inflation_consumer_price,HRV_heatwaves,HRV_inflation_consumer_price,SVN_heatwaves,SVN_inflation_consumer_price,HUN_heatwaves,HUN_inflation_consumer_price,CHE_heatwaves,CHE_inflation_consumer_price,AUT_heatwaves,AUT_inflation_consumer_price,IRL_heatwaves,IRL_inflation_consumer_price,GBR_heatwaves,GBR_inflation_consumer_price,DEU_heatwaves,DEU_inflation_consumer_price,POL_heatwaves,POL_inflation_consumer_price,BEL_heatwaves,BEL_inflation_consumer_price,LUX_heatwaves,LUX_inflation_consumer_price,NLD_heatwaves,NLD_inflation_consumer_price,ISL_heatwaves,ISL_inflation_consumer_price,DNK_heatwaves,DNK_inflation_consumer_price,SWE_heatwaves,SWE_inflation_consumer_price,NOR_heatwaves,NOR_inflation_consumer_price,FIN_heatwaves,FIN_inflation_consumer_price
1986,5.632426738739014,8.794939747,5.957896709442139,8.733559187000001,5.311692237854004,12.37160917,5.2198381423950195,48.04469274,6.294404029846191,12.33133349,5.4752373695373535,6.164383562,4.478168487548828,1.21836926,6.020705223083496,23.01544655,5.936263084411621,5.823546919,5.57087516784668,2.027888714,5.605462551116943,34.61007597,5.866696834564209,2.538525918,4.775565147399902,2.7,5.558782577514648,50.0,5.102012634277344,95.88650521,4.422712802886963,5.291661701000001,5.165929317474365,0.75030887,4.771998882293701,1.705446658,5.712717056274414,3.827039315,5.8784356117248535,3.4276094039999996,5.106304168701172,-0.129412805,4.630023956298828,16.54996817,4.2783732414245605,1.294368191,3.5949509143829346,0.294563409,3.9535229206085205,0.083347949,6.442487716674805,22.12840119,5.39059591293335,3.678184119,6.130900859832764,4.235910111,5.8773884773254395,7.176492747999999,5.898050785064697,2.933579204
1987,5.709046363830566,5.248021767,5.864959239959717,2.698739977,5.4712300300598145,7.441260913,5.553391456604004,19.67654987,6.283156871795654,9.634831862,5.424674034118652,8.225806452,4.8945136070251465,2.791666667,6.4400763511657715,16.3968916,6.169551849365234,4.747284904,5.801914215087891,0.431725669,6.047059059143066,38.85584348,5.915445327758789,3.2888982139999996,5.075918674468994,2.726387537,5.893194675445557,133.3332637,5.2989959716796875,132.072721,4.553539752960205,8.674314177000001,5.3362321853637695,1.440328424,4.974212169647217,1.4019529380000002,5.860279560089111,3.159407641,5.75354528427124,4.148922321000001,5.232842922210693,0.24990616,4.761069297790527,26.37902785,4.352845668792725,1.5533826130000001,3.7067809104919434,-0.056662909000000004,4.090120792388916,-0.691203091,6.640106201171875,18.29776822,5.543582916259766,4.019993457,6.350417613983154,4.188571518,6.047756195068359,8.717047452000001,6.161683559417725,4.113028862
1988,5.97743034362793,4.8372646989999994,6.03061580657959,2.369055055,5.380914211273193,5.911544964,5.724471092224121,16.35135135,6.590076446533203,10.10163212,5.434375762939453,7.196969697,5.143043041229248,3.429266315,6.639634132385254,13.52883553,6.389147758483887,5.058247477,5.83642053604126,0.938344387,6.350464344024658,68.80964338,6.1580376625061035,2.700815275,5.430456638336182,2.369668246,6.358431339263916,185.71428569999998,5.5017313957214355,198.75371289999998,4.718052864074707,15.72354907,5.478625774383545,1.872459172,5.178223609924316,1.91572092,6.068613052368164,2.1345715690000002,5.77158260345459,4.155351716,5.238098621368408,1.274123972,4.696839809417725,58.72082973,4.525338172912598,1.1609349340000001,3.8265857696533203,1.436590566,4.2455525398254395,0.7379430459999999,7.2299699783325195,25.72550909,5.50814151763916,4.53513301,6.193587303161621,5.824898684,6.043123245239258,6.676365988,6.177064895629883,5.085928614
1989,5.952692031860352,6.791437533,5.84239387512207,3.2599694919999997,5.2190680503845215,9.304361258,5.983369827270508,20.20905923,6.419950008392334,12.68630365,5.215816020965576,7.74088604,5.26754093170166,3.765480483,6.853063583374023,13.65556787,6.127366065979004,6.25983138,5.744019508361816,0.847691359,6.275648593902588,63.27255249,5.9299750328063965,3.498302207,5.409671306610107,6.3888888889999995,6.567042827606201,1400.0,5.414949893951416,1281.4434939999999,4.651861667633057,17.149151999999997,5.1982340812683105,3.1552891,4.935750484466553,2.568343847,6.091130256652832,4.08904273,5.929977893829346,5.7602490920000005,5.394893169403076,2.780559807,4.836368083953857,244.55093300000001,4.551931381225586,3.107050651,3.8207757472991943,3.370958873,4.332624435424805,1.082160156,7.8426289558410645,20.75819503,5.7331414222717285,4.772723424,6.628658771514893,6.443275873999999,6.536359786987305,4.546143355,6.621607780456543,6.592909802
1990,6.21381950378418,6.721825301,5.961035251617432,6.782594015,5.391296863555908,16.65253439,5.823469161987305,17.19806763,6.6592488288879395,13.63057057,5.506114482879639,6.545293073,5.140158176422119,4.502054629,6.856593132019043,20.43349964,6.1747050285339355,6.456609061,5.736997604370117,2.983405861,6.5370965003967285,60.30386913,6.255549907684326,3.19428338,5.487639427185059,23.8,6.4810404777526855,500.0,5.4497199058532715,552.0835289,4.593259334564209,28.36959965,5.257263660430908,5.403953982000001,5.036822319030762,3.261873123,6.582774639129639,3.3173212989999996,6.498202800750732,8.063460909,5.861895561218262,2.696471378,5.3079094886779785,567.8788007,4.7019219398498535,3.44831218,3.958796977996826,3.253766591,4.616963863372803,2.454089859,8.551676750183105,15.51072199,5.881443023681641,2.641603064,7.081717491149902,10.36655339,6.940030574798584,4.131033483,6.807127475738525,6.149565312000001
1991,6.2609429359436035,5.934211113,5.687641620635986,7.986166008,5.592541217803955,25.88638693,5.924637317657471,18.96125309,6.183926105499268,11.84948418,5.704944610595703,8.193715095,5.283782482147217,5.035274388,7.072498798370361,19.45584256,6.78050422668457,6.249999298,5.962653160095215,2.542192848,6.743350028991699,65.97856799,6.120792388916016,3.213407324,6.069184303283691,338.4491115,6.860918998718262,122.2222222,5.712793350219727,114.83293559999998,4.8836989402771,34.81754291,5.611136436462402,5.859585935,5.344974517822266,3.337428845,5.832774639129639,3.210817028,6.49249792098999,7.4617829570000005,6.31228494644165,4.047036816,5.829552173614502,76.76949921,4.79046106338501,3.215310693,4.096602916717529,3.1183565989999997,4.617347240447998,3.158197519,9.154706954956055,6.808778879,6.222247123718262,2.3951533169999997,7.811540603637695,9.444627329,7.4543657302856445,3.438195991,7.606542110443115,4.3102128980000005
1992,6.3554205894470215,5.924534287,5.891905307769775,5.740246629,5.833993911743164,31.66966191,6.017053604125977,11.98891199,6.244081974029541,9.559260332000001,5.961137294769287,5.824345146000001,5.527929782867432,6.510219531000001,7.478326797485352,15.87706538,7.549559593200684,5.270589986,6.309455871582031,1.633212099,6.963324069976807,70.07610387,6.4922308921813965,2.363760463,6.366175174713135,91.29793273,7.396890640258789,625.0,6.016817092895508,209.93373119999998,5.152711868286133,23.65572078,5.9256205558776855,4.037009164,5.632696151733398,4.0208455910000005,5.852922439575195,3.069997435,6.714102268218994,4.591549296,6.61313009262085,5.056979322,6.123655796051025,46.0985621,4.93556547164917,2.427955672,4.245124816894531,3.15417376,4.739424228668213,3.183585695,9.533111572265625,3.947711768,6.414895534515381,2.096044429,7.958690643310547,2.374367251,7.4543657302856445,2.3280850490000002,7.520401954650879,2.9193231930000003
1993,6.692953586578369,4.569070885,5.848555564880371,5.18311396,5.797540664672852,20.54032612,5.947651386260986,10.9529703,6.4352521896362305,6.783779947,6.062173366546631,3.974956319,5.654695987701416,4.854166667,7.716929912567139,14.41127089,8.107090950012207,4.6267346830000005,6.561054706573486,4.144819542,7.201987266540527,66.09384298,6.961564064025879,2.104462771,6.560850620269775,72.87879139,7.706898212432861,1500.0,6.323569297790527,31.76213063,5.27475118637085,22.46423461,6.1973466873168945,3.2926294830000002,5.7984299659729,3.631785595,5.886255741119385,1.469420884,7.178915500640869,2.558577969,6.989592552185059,4.474575055,6.431069374084473,36.96416661,5.126177787780762,2.754426435,4.347074508666992,3.588098185,4.931474208831787,2.584181156,10.100887298583984,4.042852911000001,6.840580463409424,1.25785668,8.344213485717773,4.728173046,7.759871959686279,2.288269332,8.003735542297363,2.190653196
1994,6.968853950500488,4.7184132839999995,5.92402982711792,5.14167153,6.006390571594238,29.04765612,5.9838666915893555,12.38148355,6.595723628997803,5.420440192,6.122564792633057,4.73323064,5.7254228591918945,4.698589311,7.929989814758301,10.87407898,8.356344223022461,4.0518421810000005,6.623509407043457,4.129921816,7.494359970092773,105.2149865,7.052589416503906,1.655515329,6.797883987426758,96.05733827,7.794753551483154,107.3275862,6.3815083503723145,20.99181805,5.352900981903076,18.86807499,6.362890243530273,0.852141522,5.876053333282471,2.95340391,5.903823375701904,2.309198751,7.150739669799805,2.219012605,7.0391998291015625,2.693057381,6.420597076416016,32.99127661,5.280874252319336,2.377540845,4.323048114776611,2.1947646869999997,5.1093974113464355,2.8015269369999998,10.483816146850586,1.552656275,7.021824836730957,1.9920146380000001,8.372298240661621,2.158138007,7.9043660163879395,1.375674981,7.986976623535156,1.088556776
1995,7.290960788726807,4.673803185,6.0463738441467285,6.123581647999999,5.968939304351807,29.77962649,6.148856163024902,9.991728701,6.829751491546631,4.222816141,6.331292152404785,6.244150287,6.23826265335083,2.61581788,8.088665008544922,8.934511217,8.616172790527344,5.23542258,6.887282848358154,4.4266455030000005,7.938286781311035,89.11331722,7.467207908630371,1.796481421,7.122761249542236,62.05483368,8.101734161376953,3.95010395,6.64000940322876,13.46372962,5.389126777648926,28.30546837,6.659127235412598,1.799799563,6.1607818603515625,2.243366681,6.370766639709473,2.52486728,7.212578773498535,2.697495183,7.2529120445251465,1.706160524,6.605000019073486,27.95138856,5.512342929840088,1.467966991,4.531670570373535,1.86769425,5.362560272216797,1.9232245719999999,10.158368110656738,1.651231501,7.273804187774658,2.083608424,8.502147674560547,2.455148578,8.03502082824707,2.460367787,8.09682559967041,0.7912394070000001
1996,7.234694004058838,3.5588408310000004,6.272478103637695,2.9868092280000003,6.048467636108398,18.67907586,6.346303939819336,11.35509099,6.827785968780518,3.068977325,6.321450233459473,3.725144727,6.237568378448486,2.978924865,8.512171745300293,8.194548902000001,8.840882301330566,4.00697669,6.722047805786133,2.0540000000000003,8.394367218017578,80.41215114,7.49778938293457,1.9828836509999999,7.114667892456055,121.60754240000001,8.092098236083984,4.3,6.797986030578613,9.864450615,5.512864589691162,23.46903019,6.603701591491699,0.8116580379999999,6.130606651306152,1.860973769,6.780359745025635,1.753732139,7.429685592651367,2.851782364,7.261937141418457,1.4497264730000001,6.655149459838867,19.79496692,5.559543609619141,2.077021074,4.587406635284424,1.183859688,5.338927268981934,2.113787871,10.325977325439453,2.260418983,7.332335472106934,2.126298023,8.539825439453125,0.533131979,8.32252025604248,1.262532492,8.117462158203125,0.629194238
1997,7.233272552490234,1.971078904,6.011006832122803,1.038198951,6.219959735870361,5.733522754,6.5044331550598145,8.927606699,6.999142646789551,2.336862983,6.523736953735352,3.652026207,6.62054443359375,3.605344444,9.00898265838623,5.536006784,9.662999153137207,2.0431077980000003,6.895730972290039,3.11207792,8.882431983947754,85.66936165,7.853091716766357,1.20394294,7.478356838226318,1058.373559,8.853899002075195,4.170661553,7.370823860168457,8.359679907,5.713607311248779,18.30507441,6.975129127502441,0.520214642,6.50124454498291,1.305983072,6.943974018096924,1.5256052169999998,7.852831840515137,2.201143135,7.587790489196777,1.939369425,6.960274696350098,14.91315861,5.949503421783447,1.628160495,4.6754302978515625,1.3675126119999998,5.765992641448975,2.109245627,10.90371036529541,1.8154308030000001,7.639868259429932,2.182166779,8.976884841918945,0.658410256,8.579402923583984,2.566923359,8.35525131225586,1.192558834
1998,7.600985527038574,1.834329229,6.038010120391846,2.753113308,6.772675514221191,4.950161638,6.699950695037842,5.480471172000001,7.139826774597168,2.572752259,6.7582268714904785,3.1253657969999997,7.009373188018799,2.227707327,9.455615043640137,4.766221863999999,10.34472942352295,1.955085577,7.270935535430908,2.385251354,9.29000186920166,84.64134348,8.188186645507812,0.651126868,7.950088977813721,18.67220444,9.673321723937988,6.3966866079999996,7.7908148765563965,7.891166828999999,5.982680797576904,14.15378965,7.205917835235596,0.017948858999999998,6.606746196746826,0.922465841,7.263529300689697,2.4155178719999997,8.013348579406738,1.820561637,7.778996467590332,0.911185301,7.098584175109863,11.59785543,5.997829437255859,0.949250288,4.7345194816589355,0.95857011,5.830956935882568,1.959136323,11.333161354064941,1.65924171,8.039752006530762,1.84565122,9.366290092468262,-0.267132668,8.33305835723877,2.2524132999999997,8.745980262756348,1.399473786
1999,8.055663108825684,2.31034695,6.234989643096924,0.6847826090000001,6.791244983673096,2.645511134,6.953688144683838,5.160456095,7.389272689819336,2.3400949030000002,7.324941158294678,2.6901248580000003,7.155670166015625,1.63,9.94716739654541,2.6366378630000002,11.025254249572754,1.66345995,7.778576850891113,2.134768888,9.783758163452148,64.86748764,8.617073059082031,0.537141639,8.096719741821289,2.573042819,10.216712951660156,4.019138756,8.314925193786621,6.155587545,5.9303131103515625,9.997744093,7.466129302978516,0.8064468570000001,7.047216892242432,0.5689907670000001,7.444515705108643,1.6319237640000002,8.139671325683594,1.752950801,7.843861103057861,0.585433144,7.236343860626221,7.154072912,6.316453456878662,1.120848234,4.9576802253723145,1.025196765,6.125051975250244,2.157179181,12.104341506958008,3.2318326089999996,8.145604133605957,2.497795444,9.625558853149414,0.462175756,8.2955322265625,2.365967366,8.917102813720703,1.1622315570000001
2000,8.358311653137207,3.433516755,6.51968240737915,1.894634568,6.967130661010742,0.339163189,7.3013715744018555,1.050748938,7.574649333953857,2.853030393,7.5581440925598145,2.9623079469999998,7.558487415313721,4.141657647,10.340282440185547,3.15118063,11.84981918334961,2.537685321,7.86137580871582,2.369592875,10.152263641357422,54.91537058,8.914948463439941,1.6759598869999999,8.817663192749023,10.31626213,10.89370346069336,4.611315547,8.937867164611816,8.911744187,6.1114630699157715,9.803610169,7.843760013580322,1.5585184680000002,7.590395927429199,2.344864555,7.733699798583984,5.5907173,8.747784614562988,1.182956242,8.439497947692871,1.4402681869999998,7.6348748207092285,9.900175388,6.504639625549316,2.544517762,5.055154323577881,3.15076707,6.2978410720825195,2.360522338,12.71051025390625,5.136471232,8.49551010131836,2.903282032,10.406916618347168,0.899143734,8.71432876586914,3.085506091,9.535284996032715,3.0421008069999997
2001,9.065301895141602,3.5898349489999997,7.007724285125732,0.619801875,7.078045845031738,4.225988349,7.640868186950684,1.150442478,8.139592170715332,4.369903306,8.02575397491455,1.983333333,7.875723838806152,1.973041917,10.882912635803223,3.37396699,12.667120933532715,2.785165427,8.296478271484375,2.929492443,10.629304885864258,54.40018876,9.647216796875,1.634780795,9.066661834716797,7.360939272,11.778435707092285,3.776702467,9.485445976257324,8.379665875,6.293572902679443,9.116809117,8.189972877502441,0.9890171529999999,7.847996711730957,2.649999223,8.009929656982422,4.872904873,8.832769393920898,1.5323496030000001,8.6529541015625,1.983856936,7.821165084838867,5.4083354560000005,6.833358287811279,2.469258231,5.226759910583496,2.663821106,6.598221778869629,4.155841272,12.318167686462402,6.405085504,8.614459991455078,2.337870003,10.27382755279541,2.405958341,9.007866859436035,3.00419704,9.319463729858398,2.5784408009999997
